Date,Description,Amount,Category
2024-01-01,Salary January 2024,65000,
2024-01-03,Swiggy Order,-485,
2024-01-05,Amazon Purchase,-1299,
2024-01-07,Uber Cab,-320,
2024-01-10,Netflix Subscription,-649,
2024-01-12,Zomato Order,-390,
2024-01-14,HDFC Credit Card Bill,-8200,
2024-01-15,Electricity Bill BESCOM,-1850,
2024-01-17,Spotify Premium,-119,
2024-01-19,Petrol Pump,-2200,
2024-01-21,Swiggy Order,-620,
2024-01-22,D-Mart Grocery,-3400,
2024-01-24,Ola Cab,-180,
2024-01-25,Pharmacy MedPlus,-890,
2024-01-27,Jio Recharge,-299,
2024-01-28,Amazon Prime,-1499,
2024-01-29,Restaurant Dinner,-1800,
2024-01-31,Gym Membership,-1200,
2024-02-01,Salary February 2024,65000,
2024-02-03,Swiggy Order,-510,
2024-02-05,Flipkart Purchase,-2199,
2024-02-07,Uber Cab,-410,
2024-02-09,Zomato Order,-450,
2024-02-12,Netflix Subscription,-649,
2024-02-14,Electricity Bill BESCOM,-1720,
2024-02-15,Petrol Pump,-2100,
2024-02-16,Valentine Dinner Restaurant,-3200,
2024-02-18,Spotify Premium,-119,
2024-02-20,D-Mart Grocery,-3100,
2024-02-22,Pharmacy Apollo,-650,
2024-02-24,Swiggy Order,-390,
2024-02-26,Jio Recharge,-299,
2024-02-28,Ola Cab,-220,
2024-03-01,Salary March 2024,65000,
2024-03-02,Swiggy Order,-480,
2024-03-04,Amazon Purchase,-3499,
2024-03-06,Uber Cab,-380,
2024-03-08,Netflix Subscription,-649,
2024-03-10,Zomato Order,-520,
2024-03-12,Electricity Bill BESCOM,-1650,
2024-03-14,Petrol Pump,-2300,
2024-03-15,Spotify Premium,-119,
2024-03-17,D-Mart Grocery,-2900,
2024-03-19,Pharmacy MedPlus,-1100,
2024-03-21,Swiggy Order,-440,
2024-03-23,Movie Tickets BookMyShow,-860,
2024-03-25,Jio Recharge,-299,
2024-03-27,Restaurant Lunch,-1200,
2024-03-29,Gym Membership,-1200,
2024-03-31,Ola Cab,-260,
2024-04-01,Salary April 2024,68000,
2024-04-03,Swiggy Order,-530,
2024-04-05,Flipkart Sale Purchase,-4599,
2024-04-07,Uber Cab,-350,
2024-04-09,Netflix Subscription,-649,
2024-04-11,Zomato Order,-470,
2024-04-13,Electricity Bill BESCOM,-2100,
2024-04-15,Petrol Pump,-2400,
2024-04-16,Spotify Premium,-119,
2024-04-18,D-Mart Grocery,-3200,
2024-04-20,Pharmacy Apollo,-780,
2024-04-22,Swiggy Order,-590,
2024-04-24,Movie Tickets BookMyShow,-920,
2024-04-25,Jio Recharge,-299,
2024-04-27,Restaurant Dinner,-2100,
2024-04-29,Gym Membership,-1200,
2024-05-01,Salary May 2024,68000,
2024-05-03,Swiggy Order,-620,
2024-05-05,Amazon Purchase,-2799,
2024-05-07,Uber Cab,-420,
2024-05-09,Netflix Subscription,-649,
2024-05-11,Zomato Order,-510,
2024-05-13,Electricity Bill BESCOM,-2400,
2024-05-15,Petrol Pump,-2500,
2024-05-16,Spotify Premium,-119,
2024-05-18,D-Mart Grocery,-3500,
2024-05-20,Pharmacy MedPlus,-450,
2024-05-22,Swiggy Order,-480,
2024-05-23,Concert Tickets,-2500,
2024-05-25,Jio Recharge,-299,
2024-05-26,Travel IRCTC Train,-1800,
2024-05-28,Gym Membership,-1200,
2024-05-30,Ola Cab,-310,
2024-06-01,Salary June 2024,68000,
2024-06-03,Swiggy Order,-550,
2024-06-05,Flipkart Purchase,-1899,
2024-06-07,Uber Cab,-390,
2024-06-09,Netflix Subscription,-649,
2024-06-11,Zomato Order,-430,
2024-06-13,Electricity Bill BESCOM,-2800,
2024-06-15,Petrol Pump,-2600,
2024-06-16,Spotify Premium,-119,
2024-06-18,D-Mart Grocery,-3300,
2024-06-20,Pharmacy Apollo,-920,
2024-06-22,Swiggy Order,-490,
2024-06-24,Movie Tickets BookMyShow,-760,
2024-06-25,Jio Recharge,-299,
2024-06-27,Restaurant Birthday Dinner,-4500,
2024-06-29,Gym Membership,-1200,
2024-07-01,Salary July 2024,68000,
2024-07-02,Freelance Payment Received,15000,
2024-07-03,Swiggy Order,-580,
2024-07-05,Amazon Purchase,-5299,
2024-07-07,Uber Cab,-460,
2024-07-09,Netflix Subscription,-649,
2024-07-11,Zomato Order,-560,
2024-07-13,Electricity Bill BESCOM,-3100,
2024-07-15,Petrol Pump,-2700,
2024-07-16,Spotify Premium,-119,
